[2025-02-04T12:28:37.495021] ADD - IP: 172.24.32.140 - Producto ID: 200
[2025-02-04T12:52:28.681324300] UPDATE - IP: 172.24.32.140 - Inventario Generado
[2025-02-04T12:54:26.880586800] ADD - IP: 172.24.32.140 - Producto ID: 211
[2025-02-04T12:58:18.254744400] UPDATE - IP: 172.24.32.140 - Inventario Generado
[2025-02-04T13:04:26.365498500] ADD - IP: 172.24.32.140 - Producto ID: 200
[2025-02-04T13:04:50.238121200] UPDATE - IP: 172.24.32.140 - Inventario Generado
[2025-02-04T13:09:21.848306700] ADD - IP: 172.24.32.140 - Producto ID: 111
[2025-02-04T13:10:28.498904800] UPDATE - IP: 172.24.32.140 - Inventario Generado
[2025-02-04T13:21:34.761960400] DELETE - IP: 172.24.32.140 - Producto ID: 200
[2025-02-04T13:22:02.470974800] DELETE - IP: 172.24.32.140 - Producto ID: 200
[2025-02-04T13:22:07.999069100] UPDATE - IP: 172.24.32.140 - Inventario Generado
[2025-02-04T13:28:12.546851600] UPDATE - IP: 172.24.32.140 - Inventario Generado
[2025-02-04T13:29:54.648048400] ADD - IP: 172.24.32.140 - Producto ID: 222
[2025-02-04T13:30:07.670095800] UPDATE - IP: 172.24.32.140 - Inventario Generado
[2025-02-04T17:39:40.616764500] ADD - IP: 172.24.32.140 - Producto ID: 1
[2025-02-04T17:39:54.402479700] UPDATE - IP: 172.24.32.140 - Inventario Generado
[2025-02-05T23:32:02.390723] SEARCH - IP: 172.24.32.140 - Producto ID: 0
[2025-02-05T23:33:18.575525600] SEARCH - IP: 172.24.32.140 - Producto ID: 0
[2025-02-05T23:33:47.182191500] SEARCH - IP: 172.24.32.140 - Producto ID: 0
[2025-02-05T23:34:46.806925600] SEARCH - IP: 172.24.32.140 - Producto ID: 0
[2025-02-05T23:41:41.549590200] SEARCH - IP: 172.24.32.140 - Producto ID: 0
[2025-02-05T23:41:47.217932300] SEARCH - IP: 172.24.32.140 - Producto ID: 0
[2025-02-05T23:43:33.454675] SEARCH - IP: 172.24.32.140 - Producto ID: 0
[2025-02-05T23:44:34.990500200] SEARCH - IP: 172.24.32.140 - Producto ID: 0
[2025-02-05T23:47:33.411659100] SEARCH - IP: 172.24.32.140 - Producto buscado: portatil
[2025-02-05T23:47:38.344218800] SEARCH - IP: 172.24.32.140 - Producto buscado: portatil
[2025-02-05T23:56:08.541951300] SEARCH - IP: 172.24.32.140 - Producto buscado: portatil
[2025-02-06T00:11:18.242145500] SEARCH - IP: 172.24.32.140 - Producto ID: 0
[2025-02-06T00:11:56.762562800] DELETE - IP: 172.24.32.140 - Producto ID: 1
